stage,variant,description,n_seeds,final_eval_return_mean,final_eval_return_std,final_train_return_mean,final_train_return_std,AULC_1M,AULC_200k,t_475_mean,t_475_std,solve_rate,post_solve_min_return
sweep,clip_0p1,Clip coefficient sweep: clip_coef=0.1,3,422.66,109.37527691393517,458.6033333333333,58.54372743703822,0.7195461503999999,0.30827690666666663,410965.3333333333,107415.38190697934,1.0,178.15
sweep,clip_0p2,Clip coefficient sweep: clip_coef=0.2,3,476.23333333333335,33.61114233240057,458.7966666666666,50.018850002329685,0.7297460224,0.375878656,264192.0,61394.472020424335,1.0,153.96666666666667
sweep,clip_0p3,Clip coefficient sweep: clip_coef=0.3,3,474.6433333333334,35.85974189657377,337.06666666666666,113.52260430807993,0.6443200853333333,0.3636066986666666,544085.3333333334,230502.88270841408,1.0,138.35
sweep,gae_0p9,GAE lambda sweep: gae_lambda=0.9,3,498.48333333333335,2.1448905695991995,500.0,0.0,0.8408469514666667,0.3530758826666667,314026.6666666667,41311.205431725444,1.0,324.43333333333334
sweep,gae_0p95,GAE lambda sweep: gae_lambda=0.95,3,476.18666666666667,33.67713896531128,458.7966666666666,50.018850002329685,0.730915328,0.378451968,264192.0,61394.472020424335,1.0,153.2
sweep,gae_0p98,GAE lambda sweep: gae_lambda=0.98,3,302.04999999999995,9.088905324625198,185.52,17.282054276040224,0.5668352255999999,0.36821026133333334,658090.6666666666,235780.06125106415,1.0,149.15
sweep,rollout_512,Rollout length sweep: rollout_steps=512,3,495.68333333333334,3.9783441558294435,225.56000000000003,26.493253229202836,0.7697913258666668,0.40280221866666666,223573.33333333334,20625.96870183044,1.0,35.03333333333334
sweep,rollout_1024,Rollout length sweep: rollout_steps=1024,3,342.80999999999995,39.17880039000685,198.50333333333333,22.318208311202365,0.6551961482666667,0.39883562666666666,340650.6666666667,190264.47852981446,1.0,127.60000000000001
sweep,rollout_2048,Rollout length sweep: rollout_steps=2048,3,476.18,33.68656705572714,458.7966666666666,50.018850002329685,0.7309364223999998,0.3764123306666667,264192.0,61394.472020424335,1.0,153.08333333333331
sweep,epochs_2,Update epoch sweep: update_epochs=2,3,428.18666666666667,54.93208979175004,300.7266666666667,5.325237605549204,0.5729405173333333,0.2353757866666667,574122.6666666666,161833.76113640674,1.0,151.06666666666663
sweep,epochs_4,Update epoch sweep: update_epochs=4,3,465.75,48.436814511278506,263.24666666666667,34.916870166471426,0.7004620853333332,0.30996531200000005,431445.3333333333,42479.204177521446,1.0,204.54999999999998
sweep,epochs_8,Update epoch sweep: update_epochs=8,3,306.02666666666664,59.76505909717558,208.9333333333333,31.143361340028083,0.5782946773333334,0.3339240106666666,367274.6666666667,76159.41437683343,1.0,133.53333333333333
